0,addb,A,A,ADD,A,A
1,addb,A,B,ADD,A,B
2,addb,A,%(i8)s,ADD,A,#nn
3,addb,A,[HL],ADD,A,[HL]
4,addb,A,[NN+%(i8)s],ADD,A,[BR:ll]
5,addb,A,[%(i16)s],ADD,A,[hhll]
6,addb,A,[X1],ADD,A,[IX]
7,addb,A,[X2],ADD,A,[IY]
8,addcb,A,A,ADC,A,A
9,addcb,A,B,ADC,A,B
a,addcb,A,%(i8)s,ADC,A,#nn
b,addcb,A,[HL],ADC,A,[HL]
c,addcb,A,[NN+%(i8)s],ADC,A,[BR:ll]
d,addcb,A,[%(i16)s],ADC,A,[hhll]
e,addcb,A,[X1],ADC,A,[IX]
f,addcb,A,[X2],ADC,A,[IY]
10,subb,A,A,SUB,A,A
11,subb,A,B,SUB,A,B
12,subb,A,%(i8)s,SUB,A,#nn
13,subb,A,[HL],SUB,A,[HL]
14,subb,A,[NN+%(i8)s],SUB,A,[BR:ll]
15,subb,A,[%(i16)s],SUB,A,[hhll]
16,subb,A,[X1],SUB,A,[IX]
17,subb,A,[X2],SUB,A,[IY]
18,subcb,A,A,SBC,A,A
19,subcb,A,B,SBC,A,B
1a,subcb,A,%(i8)s,SBC,A,#nn
1b,subcb,A,[HL],SBC,A,[HL]
1c,subcb,A,[NN+%(i8)s],SBC,A,[BR:ll]
1d,subcb,A,[%(i16)s],SBC,A,[hhll]
1e,subcb,A,[X1],SBC,A,[IX]
1f,subcb,A,[X2],SBC,A,[IY]
20,andb,A,A,AND,A,A
21,andb,A,B,AND,A,B
22,andb,A,%(i8)s,AND,A,#nn
23,andb,A,[HL],AND,A,[HL]
24,andb,A,[NN+%(i8)s],AND,A,[BR:ll]
25,andb,A,[%(i16)s],AND,A,[hhll]
26,andb,A,[X1],AND,A,[IX]
27,andb,A,[X2],AND,A,[IY]
28,orb,A,A,OR,A,A
29,orb,A,B,OR,A,B
2a,orb,A,%(i8)s,OR,A,#nn
2b,orb,A,[HL],OR,A,[HL]
2c,orb,A,[NN+%(i8)s],OR,A,[BR:ll]
