CODE,OP,ARG1,ARG2,,OP (CE),ARG1,ARG2,,OP (CF),ARG1,ARG2
0,ADD,A,A,,ADD,A,[IX+dd],,ADD,BA,BA
1,ADD,A,B,,ADD,A,[IY+dd],,ADD,BA,HL
2,ADD,A,#nn,,ADD,A,[IX+L],,ADD,BA,IX
3,ADD,A,[HL],,ADD,A,[IY+L],,ADD,BA,IY
4,ADD,A,[BR:ll],,ADD,[HL],A,,ADC,BA,BA
5,ADD,A,[hhll],,ADD,[HL],#nn,,ADC,BA,HL
6,ADD,A,[IX],,ADD,[HL],[IX],,ADC,BA,IX
7,ADD,A,[IY],,ADD,[HL],[IY],,ADC,BA,IY
8,ADC,A,A,,ADC,A,[IX+dd],,SUB,BA,BA
9,ADC,A,B,,ADC,A,[IY+dd],,SUB,BA,HL
0A,ADC,A,#nn,,ADC,A,[IX+L],,SUB,BA,IX
0B,ADC,A,[HL],,ADC,A,[IY+L],,SUB,BA,IY
0C,ADC,A,[BR:ll],,ADC,[HL],A,,SBC,BA,BA
0D,ADC,A,[hhll],,ADC,[HL],#nn,,SBC,BA,HL
0E,ADC,A,[IX],,ADC,[HL],[IX],,SBC,BA,IX
0F,ADC,A,[IY],,ADC,[HL],[IY],,SBC,BA,IY
10,SUB,A,A,,SUB,A,[IX+dd],,undefined,,
11,SUB,A,B,,SUB,A,[IY+dd],,undefined,,
12,SUB,A,#nn,,SUB,A,[IX+L],,undefined,,
13,SUB,A,[HL],,SUB,A,[IY+L],,undefined,,
14,SUB,A,[BR:ll],,SUB,[HL],A,,undefined,,
15,SUB,A,[hhll],,SUB,[HL],#nn,,undefined,,
16,SUB,A,[IX],,SUB,[HL],[IX],,undefined,,
17,SUB,A,[IY],,SUB,[HL],[IY],,undefined,,
18,SBC,A,A,,SBC,A,[IX+dd],,CP,BA,BA
19,SBC,A,B,,SBC,A,[IY+dd],,CP,BA,HL
1A,SBC,A,#nn,,SBC,A,[IX+L],,CP,BA,IX
1B,SBC,A,[HL],,SBC,A,[IY+L],,CP,BA,IY
1C,SBC,A,[BR:ll],,SBC,[HL],A,,undefined,,
1D,SBC,A,[hhll],,SBC,[HL],#nn,,undefined,,
1E,SBC,A,[IX],,SBC,[HL],[IX],,undefined,,
1F,SBC,A,[IY],,SBC,[HL],[IY],,undefined,,
20,AND,A,A,,AND,A,[IX+dd],,ADD,HL,BA
21,AND,A,B,,AND,A,[IY+dd],,ADD,HL,HL
22,AND,A,#nn,,AND,A,[IX+L],,ADD,HL,IX
23,AND,A,[HL],,AND,A,[IY+L],,ADD,HL,IY
24,AND,A,[BR:ll],,AND,[HL],A,,ADC,HL,BA
25,AND,A,[hhll],,AND,[HL],#nn,,ADC,HL,HL
26,AND,A,[IX],,AND,[HL],[IX],,ADC,HL,IX
27,AND,A,[IY],,AND,[HL],[IY],,ADC,HL,IY
28,OR,A,A,,OR,A,[IX+dd],,SUB,HL,BA
29,OR,A,B,,OR,A,[IY+dd],,SUB,HL,HL
2A,OR,A,#nn,,OR,A,[IX+L],,SUB,HL,IX
2B,OR,A,[HL],,OR,A,[IY+L],,SUB,HL,IY
2C,OR,A,[BR:ll],,OR,[HL],A,,SBC,HL,BA
2D,OR,A,[hhll],,OR,[HL],#nn,,SBC,HL,HL
2E,OR,A,[IX],,OR,[HL],[IX],,SBC,HL,IX
2F,OR,A,[IY],,OR,[HL],[IY],,SBC,HL,IY
30,CP,A,A,,CP,A,[IX+dd],,undefined,,
31,CP,A,B,,CP,A,[IY+dd],,undefined,,
32,CP,A,#nn,,CP,A,[IX+L],,undefined,,
33,CP,A,[HL],,CP,A,[IY+L],,undefined,,
34,CP,A,[BR:ll],,CP,[HL],A,,undefined,,
35,CP,A,[hhll],,CP,[HL],#nn,,undefined,,
36,CP,A,[IX],,CP,[HL],[IX],,undefined,,
37,CP,A,[IY],,CP,[HL],[IY],,undefined,,
38,XOR,A,A,,XOR,A,[IX+dd],,CP,HL,BA
39,XOR,A,B,,XOR,A,[IY+dd],,CP,HL,HL
3A,XOR,A,#nn,,XOR,A,[IX+L],,CP,HL,IX
3B,XOR,A,[HL],,XOR,A,[IY+L],,CP,HL,IY
3C,XOR,A,[BR:ll],,XOR,[HL],A,,undefined,,
3D,XOR,A,[hhll],,XOR,[HL],#nn,,undefined,,
3E,XOR,A,[IX],,XOR,[HL],[IX],,undefined,,
3F,XOR,A,[IY],,XOR,[HL],[IY],,undefined,,
40,LD,A,A,,LD,A,[IX+dd],,ADD,IX,BA
41,LD,A,B,,LD,A,[IY+dd],,ADD,IX,HL
42,LD,A,L,,LD,A,[IX+L],,ADD,IY,BA
43,LD,A,H,,LD,A,[IY+L],,ADD,IY,HL
44,LD,A,[BR:ll],,LD,[IX+dd],A,,ADD,SP,BA
45,LD,A,[HL],,LD,[IY+dd],A,,ADD,SP,HL
46,LD,A,[IX],,LD,[IX+L],A,,undefined,,
47,LD,A,[IY],,LD,[IY+L],A,,undefined,,
48,LD,B,A,,LD,B,[IX+dd],,SUB,IX,BA
49,LD,B,B,,LD,B,[IY+dd],,SUB,IX,HL
4A,LD,B,L,,LD,B,[IX+L],,SUB,IY,BA
4B,LD,B,H,,LD,B,[IY+L],,SUB,IY,HL
4C,LD,B,[BR:ll],,LD,[IX+dd],B,,SUB,SP,BA
4D,LD,B,[HL],,LD,[IY+dd],B,,SUB,SP,HL
4E,LD,B,[IX],,LD,[IX+L],B,,undefined,,
4F,LD,B,[IY],,LD,[IY+L],B,,undefined,,
50,LD,L,A,,LD,L,[IX+dd],,undefined,,
51,LD,L,B,,LD,L,[IY+dd],,undefined,,
52,LD,L,L,,LD,L,[IX+L],,undefined,,
53,LD,L,H,,LD,L,[IY+L],,undefined,,
54,LD,L,[BR:ll],,LD,[IX+dd],L,,undefined,,
55,LD,L,[HL],,LD,[IY+dd],L,,undefined,,
56,LD,L,[IX],,LD,[IX+L],L,,undefined,,
57,LD,L,[IY],,LD,[IY+L],L,,undefined,,
58,LD,H,A,,LD,H,[IX+dd],,undefined,,
59,LD,H,B,,LD,H,[IY+dd],,undefined,,
5A,LD,H,L,,LD,H,[IX+L],,undefined,,
5B,LD,H,H,,LD,H,[IY+L],,undefined,,
5C,LD,H,[BR:ll],,LD,[IX+dd],H,,CP,SP,BA
5D,LD,H,[HL],,LD,[IY+dd],H,,CP,SP,HL
5E,LD,H,[IX],,LD,[IX+L],H,,undefined,,
5F,LD,H,[IY],,LD,[IY+L],H,,undefined,,
60,LD,[IX],A,,LD,[HL],[IX+dd],,ADC,BA,#mmnn
61,LD,[IX],B,,LD,[HL],[IY+dd],,ADC,HL,#mmnn
62,LD,[IX],L,,LD,[HL],[IX+L],,SBC,BA,#mmnn
63,LD,[IX],H,,LD,[HL],[IY+L],,SBC,HL,#mmnn
64,LD,[IX],[BR:ll],,undefined,,,,undefined,,
65,LD,[IX],[HL],,undefined,,,,undefined,,
66,LD,[IX],[IX],,undefined,,,,undefined,,
67,LD,[IX],[IY],,undefined,,,,undefined,,
68,LD,[HL],A,,LD,[IX],[IX+dd],,ADD,SP,#mmnn
69,LD,[HL],B,,LD,[IX],[IY+dd],,undefined,,
6A,LD,[HL],L,,LD,[IX],[IX+L],,SUB,SP,#mmnn
6B,LD,[HL],H,,LD,[IX],[IY+L],,undefined,,
6C,LD,[HL],[BR:ll],,undefined,,,,CP,SP,#mmnn
6D,LD,[HL],[HL],,undefined,,,,undefined,,
6E,LD,[HL],[IX],,undefined,,,,LD,SP,#mmnn
6F,LD,[HL],[IY],,undefined,,,,undefined,,
70,LD,[IY],A,,undefined,,,,LD,BA,[SP+dd]
71,LD,[IY],B,,undefined,,,,LD,HL,[SP+dd]
72,LD,[IY],L,,undefined,,,,LD,IX,[SP+dd]
73,LD,[IY],H,,undefined,,,,LD,IY,[SP+dd]
74,LD,[IY],[BR:ll],,undefined,,,,LD,[SP+dd],BA
75,LD,[IY],[HL],,undefined,,,,LD,[SP+dd],HL
76,LD,[IY],[IX],,undefined,,,,LD,[SP+dd],IX
77,LD,[IY],[IY],,undefined,,,,LD,[SP+dd],IY
78,LD,[BR:ll],A,,LD,[IY],[IX+dd],,LD,SP,[hhll]
79,LD,[BR:ll],B,,LD,[IY],[IY+dd],,undefined,,
7A,LD,[BR:ll],L,,LD,[IY],[IX+L],,undefined,,
7B,LD,[BR:ll],H,,LD,[IY],[IY+L],,undefined,,
7C,undefined,,,,undefined,,,,LD,[hhll],SP
7D,LD,[BR:ll],[HL],,undefined,,,,undefined,,
7E,LD,[BR:ll],[IX],,undefined,,,,undefined,,
7F,LD,[BR:ll],[IY],,undefined,,,,undefined,,
80,INC,A,,,SLA,A,,,undefined,,
81,INC,B,,,SLA,B,,,undefined,,
82,INC,L,,,SLA,[BR:ll],,,undefined,,
83,INC,H,,,SLA,[HL],,,undefined,,
84,INC,BR,,,SLL,A,,,undefined,,
85,INC,[BR:ll],,,SLL,B,,,undefined,,
86,INC,[HL],,,SLL,[BR:ll],,,undefined,,
87,INC,SP,,,SLL,[HL],,,undefined,,
88,DEC,A,,,SRA,A,,,undefined,,
89,DEC,B,,,SRA,B,,,undefined,,
8A,DEC,L,,,SRA,[BR:ll],,,undefined,,
8B,DEC,H,,,SRA,[HL],,,undefined,,
8C,DEC,BR,,,SRL,A,,,undefined,,
8D,DEC,[BR:ll],,,SRL,B,,,undefined,,
8E,DEC,[HL],,,SRL,[BR:ll],,,undefined,,
8F,DEC,SP,,,SRL,[HL],,,undefined,,
90,INC,BA,,,RL,A,,,undefined,,
91,INC,HL,,,RL,B,,,undefined,,
92,INC,IX,,,RL,[BR:ll],,,undefined,,
93,INC,IY,,,RL,[HL],,,undefined,,
94,BIT,A,B,,RLC,A,,,undefined,,
95,BIT,[HL],#nn,,RLC,B,,,undefined,,
96,BIT,A,#nn,,RLC,[BR:ll],,,undefined,,
97,BIT,B,#nn,,RLC,[HL],,,undefined,,
98,DEC,BA,,,RR,A,,,undefined,,
99,DEC,HL,,,RR,B,,,undefined,,
9A,DEC,IX,,,RR,[BR:ll],,,undefined,,
9B,DEC,IY,,,RR,[HL],,,undefined,,
9C,AND,SC,#nn,,RRC,A,,,undefined,,
9D,OR,SC,#nn,,RRC,B,,,undefined,,
9E,XOR,SC,#nn,,RRC,[BR:ll],,,undefined,,
9F,LD,SC,#nn,,RRC,[HL],,,undefined,,
A0,PUSH,BA,,,CPL,A,,,undefined,,
A1,PUSH,HL,,,CPL,B,,,undefined,,
A2,PUSH,IX,,,CPL,[BR:ll],,,undefined,,
A3,PUSH,IY,,,CPL,[HL],,,undefined,,
A4,PUSH,BR,,,NEG,A,,,undefined,,
A5,PUSH,EP,,,NEG,B,,,undefined,,
A6,PUSH,IP,,,NEG,[BR:ll],,,undefined,,
A7,PUSH,SC,,,NEG,[HL],,,undefined,,
A8,POP,BA,,,SEP,,,,undefined,,
A9,POP,HL,,,undefined,,,,undefined,,
AA,POP,IX,,,undefined,,,,undefined,,
AB,POP,IY,,,undefined,,,,undefined,,
AC,POP,BR,,,undefined,,,,undefined,,
AD,POP,EP,,,undefined,,,,undefined,,
AE,POP,IP,,,HALT,,,,undefined,,
AF,POP,SC,,,SLP,,,,undefined,,
B0,LD,A,#nn,,AND,B,#nn,,PUSH,A,
B1,LD,B,#nn,,AND,L,#nn,,PUSH,B,
B2,LD,L,#nn,,AND,H,#nn,,PUSH,L,
B3,LD,H,#nn,,undefined,,,,PUSH,H,
B4,LD,BR,#nn,,OR,B,#nn,,POP,A,
B5,LD,[HL],#nn,,OR,L,#nn,,POP,B,
B6,LD,[IX],#nn,,OR,H,#nn,,POP,L,
B7,LD,[IY],#nn,,undefined,,,,POP,H,
B8,LD,BA,[hhll],,XOR,B,#nn,,PUSH,ALL,
B9,LD,HL,[hhll],,XOR,L,#nn,,PUSH,ALE,
BA,LD,IX,[hhll],,XOR,H,#nn,,undefined,,
BB,LD,IY,[hhll],,undefined,,,,undefined,,
BC,LD,[hhll],BA,,CP,B,#nn,,POP,ALL,
BD,LD,[hhll],HL,,CP,L,#nn,,POP,ALE,
BE,LD,[hhll],IX,,CP,H,#nn,,undefined,,
BF,LD,[hhll],IY,,CP,BR,#nn,,undefined,,
C0,ADD,BA,#mmnn,,LD,A,BR,,LD,BA,[HL]
C1,ADD,HL,#mmnn,,LD,A,SC,,LD,HL,[HL]
C2,ADD,IX,#mmnn,,LD,BR,A,,LD,IX,[HL]
C3,ADD,IY,#mmnn,,LD,SC,A,,LD,IY,[HL]
C4,LD,BA,#mmnn,,LD,NB,#nn,,LD,[HL],BA
